level,bay,name
0,0,W24X62
0,1,W24X62
0,2,W24X62
0,3,W24X62
1,0,W24X62
1,1,W24X62
1,2,W24X62
1,3,W24X62
2,0,W21X44
2,1,W21X44
2,2,W21X44
2,3,W21X44
