floor,pier,name
0,0,W14X159
0,1,W14X176
0,2,W14X176
0,3,W14X176
0,4,W14X159
1,0,W14X159
1,1,W14X176
1,2,W14X176
1,3,W14X176
1,4,W14X159
2,0,W14X159
2,1,W14X176
2,2,W14X176
2,3,W14X176
2,4,W14X159
