level,bay,name
0,0,W27X94
0,1,W27X94
0,2,W27X94
0,3,W27X94
1,0,W33X130
1,1,W33X130
1,2,W33X130
1,3,W33X130
2,0,W33X130
2,1,W33X130
2,2,W33X130
2,3,W33X130
