floor,pier,name
0,0,W14X53
0,1,W14X99
0,2,W14X99
0,3,W14X99
0,4,W14X53
1,0,W14X53
1,1,W14X99
1,2,W14X99
1,3,W14X99
1,4,W14X53
2,0,W14X53
2,1,W14X99
2,2,W14X99
2,3,W14X99
2,4,W14X53
